priority,study,outcome,timepoint,outcome_family,rows,data_type,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,intervention,comparator,source_location,source_qc,eligibility,status
2 - not currently pooled,He 2026 (breast/WJCO),Movement VAS,24 h,Pain,1,Mean/SD,65,65,65,65,Perioperative EA + flurbiprofen,Sham acupuncture + flurbiprofen,Postoperative VAS table,"Article labels values mean±SD, but identical very small dispersions across arms/timepoints warrant source-verification caution",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,He 2026 (breast/WJCO),Resting VAS,24 h,Pain,1,Mean/SD,65,65,65,65,Perioperative EA + flurbiprofen,Sham acupuncture + flurbiprofen,Postoperative VAS table,Same dispersion-format caution as movement VAS,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,He 2026 (hepatectomy/JIS),PCA attempts,24 h,Opioid demand,1,Mean/SD,80,79,81,80,Intraoperative PC6 TEAS,No-current PC6 control,Supplemental/secondary outcome,Fewer attempts despite no difference in total MME,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Hou 2023,Actual total postoperative sufentanil consumption,0-24 h,Opioid consumption,1,Not reported,36,36,37,37,Perioperative TEAS,Sham/no-current TEAS,PCIA regimen / consumption absent,"PCIA concentration and basal/bolus settings are known, but actual bolus use/total delivered sufentanil are not reported; fixed basal exposure is not total consumption",NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Hou 2023,Any rescue flurbiprofen use,Postoperative,Rescue analgesia,1,Events/total,36,36,37,37,Perioperative TEAS,Sham/no-current TEAS,Rescue analgesia,"Flurbiprofen is an NSAID, not an opioid",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Hou 2023,VAS-P pain,"D2 = one day after surgery, not exact clock-time 24 h",Pain,1,Median/IQR,36,36,37,37,Perioperative TEAS,Sham/no-current TEAS,Postoperative pain / D2,D2 is author-defined as one day after surgery; do not silently label it exact 24 h,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2017,Exact cumulative postoperative sufentanil consumption,0-24 h,Opioid consumption,1,Not reported,20,20,20,20,Active TEAS frequency arms,Placebo TEAS/no current,Exact 24-h postoperative endpoint absent,Exact 24-h group values and PCA demand/delivery counts are not published,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2017,Published postoperative sufentanil aggregate,Observation window unclear,Opioid consumption,1,Mean/SD,20,20,20,20,2/100-Hz TEAS,Placebo TEAS/no current,Table 5 / postoperative analgesic consumption,Methods mention 6/12/24/48-h assessments but Table 5 gives only one aggregate dose per group,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2024,Additional PCA dose/release,"POD2; 24 h after first EA session, not necessarily 24 h after surgery",Opioid demand,1,Median/IQR,38,38,38,38,Contralateral EA,Bilateral sham EA,Primary PCA outcome / POD2,"PCA drug, dose per release and outcome unit are not reported; timing is 24 h after first EA rather than explicitly 24 h after surgery",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2024,Exact cumulative postoperative opioid dose,0-24 h,Opioid consumption,1,Not calculable,38,38,38,38,True-EA arms,Bilateral sham EA,PCA regimen incomplete,"PCA drug identity/composition, bolus dose and exact 24-h-after-surgery exposure are unavailable",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,Bowel obstruction,Postoperative,GI adverse event,1,Events/total,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Postoperative bowel obstruction.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,Exact cumulative postoperative opioid consumption,0-24 h,Opioid consumption,1,Not reported,43,45,51,50,Postoperative EA + ERAS,ERAS/standard care,Postoperative analgesia section,"PCA drug/composition and consumption are not reported; rescue analgesia was ketorolac, a non-opioid NSAID",NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,Hospital length of stay,Postoperative hospitalization,Length of stay,1,Mean/SD,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Table header states mean (SD).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,I-FEED score,24 h,GI recovery,1,Median/range,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Table explicitly labels dispersion as min-max. Equal medians at 24 h do not invalidate the reported rank-test P value.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,I-FEED score,48 h,GI recovery,1,Median/range,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Table explicitly labels dispersion as min-max. Equal medians at 24 h do not invalidate the reported rank-test P value.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,I-FEED score,72 h,GI recovery,1,Median/range,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Table explicitly labels dispersion as min-max. Equal medians at 24 h do not invalidate the reported rank-test P value.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,QoR-40 total score,Day of discharge,Quality of recovery,1,Median/range,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Table shows a higher EA score; Results prose incorrectly says QoR-40 scores were 'lower' in EA. Higher QoR-40 indicates better recovery.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,Serious adverse events or fatalities,Study follow-up,Adverse events,1,Events/total,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2748; Results text,The article also states no serious adverse events or complications related to the EA procedure were recorded.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,Use of additional analgesic,Postoperative,Rescue analgesia,1,Events/total,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Methods specify ketorolac tromethamine 30 mg IM for VAS≥6 or patient request within 24 h.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,VAS pain score,24 h,Pain,1,Median/range,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,"Table explicitly labels dispersion as min-max, not IQR.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,VAS pain score,48 h,Pain,1,Median/range,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,"Table explicitly labels dispersion as min-max, not IQR.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,VAS pain score,72 h,Pain,1,Median/range,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,"Table explicitly labels dispersion as min-max, not IQR.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Huang 2025,Vomiting,Postoperative,PONV,1,Events/total,43.0,45.0,51.0,50.0,Postoperative EA + ERAS,ERAS/standard care,p. 2749; Table 4,Table gives postoperative vomiting without a more specific clock-time label.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Abdominal distention incidence,Postoperative,GI adverse event,1,Events/total,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 4,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Any postoperative complication/adverse event,Study follow-up,Adverse events,1,Events/total,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 5,Do not pool the overall adverse-event row together with its component rows in the same analysis.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Exact cumulative postoperative opioid consumption,0-24 h,Opioid consumption,1,Not reported,294,293,308,306,Perioperative TEAS,Sham/no current,Postoperative analgesia section,PCIA use is reported but exact group-specific postoperative dose is not,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Hospital cost,Hospitalization,Healthcare utilization,1,Median/IQR,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 4,The printed effect estimate direction does not equal the raw median difference; preserve as printed and do not recompute silently.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Hydroderma,Study follow-up,Adverse events,1,Events/total,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 5,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,NRS pain score,"AMBIGUOUS — single summary; Methods planned 6 h, 24 h and 48 h",Pain,1,Median/IQR,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 3; Results §3.3,"The paper prespecifies NRS at 6, 24 and 48 h but reports only this one numerical summary without identifying which timepoint it represents. Do not relabel as 24 h.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,PONV incidence,Within 24 h,PONV,1,Events/total,294,293,308,306,Perioperative TEAS,Sham/no current,24-h PONV result,Use 44/294 vs 67/293; do not relabel 587 as randomized/ITT,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Postoperative hospital stay,Postoperative hospitalization,Length of stay,1,Median/IQR,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 4,NOT REPORTED,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Remifentanil consumption,Intraoperative,Intraoperative opioid,1,Median/IQR,294,293,308,306,Perioperative TEAS,Sham/no current,Perioperative characteristics table,Direct source result; not a postoperative endpoint,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Rubefaction,Study follow-up,Adverse events,1,Events/total,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 5,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Severe adverse events,Study follow-up,Adverse events,1,Events/total,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 5,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Subcutaneous hematoma,Study follow-up,Adverse events,1,Events/total,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 5,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jiang 2026,Time to first defecation,Postoperative,GI recovery,1,Median/IQR,294.0,293.0,308.0,306.0,Perioperative TEAS,Sham/no-current TEAS,PDF p. 5; Table 4,The effect CI is printed in descending numerical order (−3.8 to −6.0); preserved verbatim.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jin 2023,Exact cumulative fentanyl mass / MME,0-24 h,Opioid consumption,1,Not calculable,,,58,58,Active EA arms,Sham nonpenetrating EA/no current,PCIA formulation absent from main article,Only mL of solution are reported in the main article,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Jin 2023,Published 'fentanyl consumption' / PCIA solution volume,24 h,Opioid consumption,2,Mean/SD,53,52,58,58,2-Hz postoperative EA,Sham nonpenetrating EA/no current,Table 3 / 24-h 'fentanyl consumption',Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Cumulative postoperative sufentanil consumption,0-24 h,Opioid consumption,1,Not reported,140,140,154,152,Perioperative TEAS,Sham-point/no current,Postoperative analgesia pump / exact 24-h endpoint absent,"Printed pump unit is clinically implausible, programming is missing, and actual 24-h delivered dose is not reported; do not silently change mg to µg",NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Length of postoperative hospital stay,From date of surgery to discharge,Length of stay,1,Mean/SD,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 6,Table 6 uses ** and footnote **P <0.01 vs group S rather than a numeric exact P value.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,PONV occurrence,6 h post-OP,PONV,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,PONV occurrence,12 h post-OP,PONV,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,PONV occurrence,9 am on day 1,PONV,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,PONV occurrence,3 pm on day 1,PONV,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,PONV occurrence,9 am on day 2,PONV,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,PONV occurrence,3 pm on day 2,PONV,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,These are assessment-time PONV occurrence counts as printed; the article does not relabel them as cumulative 0–x-hour windows.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Participants with postoperative VAS score ≥4,12 h post-OP,Pain,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,"This is a dichotomized VAS threshold, not a continuous VAS score.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Participants with postoperative VAS score ≥4,9 am on day 1,Pain,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,"This is a dichotomized VAS threshold, not a continuous VAS score.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Participants with postoperative VAS score ≥4,3 pm on day 1,Pain,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,"This is a dichotomized VAS threshold, not a continuous VAS score.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Participants with postoperative VAS score ≥4,9 am on day 2,Pain,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,"This is a dichotomized VAS threshold, not a continuous VAS score.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Participants with postoperative VAS score ≥4,3 pm on day 2,Pain,1,Events/total,140.0,140.0,140.0,140.0,Group T — TEAS,Group S — sham,p. 215; Table 5,"This is a dichotomized VAS threshold, not a continuous VAS score.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Postoperative gastrointestinal dysfunction: no bowel sounds >48 h,Postoperative,GI recovery,1,Events/total,140,140,154,152,Perioperative TEAS,Sham-point/no current,PGD incidence,Study-specific PGD definition; majority of events were in colorectal stratum,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,Time to first flatus,Postoperative,GI recovery,1,Median/IQR,140,140,154,152,Perioperative TEAS,Sham-point/no current,First-flatus result,Use PP analyzed denominators explicitly; do not fabricate mean/SD,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2021,VAS ≥4,6 h,Pain,1,Events/total,140,140,154,152,Perioperative TEAS,Sham-point/no current,Postoperative pain table / 6 h,Pain is reported as binary VAS ≥4 rather than continuous score,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2022,Exact cumulative postoperative opioid consumption,0-24 h,Opioid consumption,1,Not reported,39,40,40,40,Preoperative electroacupuncture,Sham electroacupuncture,Exact 24-h opioid endpoint absent,The prior derivative's 24-h sufentanil result was fabricated; no source-grounded exact 24-h postoperative opioid total is available,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Li 2022,Mechanical pain threshold around surgical incision,24 h,Experimental pain,1,Source-reported direction; exact value not promoted,39,40,40,40,Preoperative electroacupuncture,Sham electroacupuncture,Mechanical-threshold longitudinal result,"EA advantage was reported at 30 min and 6 h, not at 24 or 48 h; the earlier stored RoB fabricated a significant 24-h result",HOLD,ROB2_RESULT_SPECIFIC_PENDING
