Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,AF lock IDs,AF target(s),AF endpoint stratum(s),AF reconciliation action(s),AF include strict,AF include sensitivity,AF overall RoB,AF unresolved priority,AF hold/exclude note,AF source-truth result(s)
Zhang 2023,ZHANG23_TEAS_vs_SHAM_DELAYED,TEAS,Sham/no current,Urinary recovery,Delayed urinary recovery (>12 h without spontaneous void),Postoperative,Events/total,975,973,922,916,,,,,,103,,,,,,173,participants,<0.001,Yes,No,RR,0.5915012601406844,No,No,Eligible for dichotomous delayed-voiding analysis,No,"Use analyzed denominators 922 and 916, not randomized denominators",Table 2 / delayed urinary recovery,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Zhang 2023,ZHANG23_TEAS_vs_SHAM_POUR,TEAS,Sham/no current,Urinary recovery,Postoperative urinary retention,Postoperative,Events/total,975,973,922,916,,,,,,75,,,,,,104,participants,0.02,Yes,No,RR,0.7164608710161855,No,No,Eligible for dichotomous POUR analysis,No,Use analyzed denominators 922 and 916,Table 2 / POUR result,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Zhang 2023,ZHANG23_TEAS_vs_SHAM_MME48,TEAS,Sham/no current,Opioid consumption,Postoperative IV morphine-equivalent consumption,Within 48 h,Median/IQR,975,973,922,916,,,110,80,110,,,,110,90,110,,mg IV morphine-equivalent,NR,Yes,Yes,,,No,No,Potentially eligible for 48-h opioid analysis if median/IQR endpoints are prespecified,No,Authors converted opioids using ClinCalc; exact 24-h postoperative dose is not reported,Table 1 / postoperative opioid-equivalent result,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,SOURCE-VERIFIED / 48H ONLY,A-002,A,A_0-48h_cumulative_opioid,MATCHED,1,0,Some concerns,P2,,110 (80–110) vs 110 (90–110) mg IV MME
Zhang 2023,ZHANG23_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,Opioid consumption,Exact cumulative postoperative opioid dose,0-24 h,Not reported,975,973,922,916,,,,,,,,,,,,,mg IV morphine-equivalent,,No,No,,,No,No,Not eligible for strict continuous 24-h opioid meta-analysis,No,Only a postoperative 48-h opioid-equivalent endpoint is reported,Exact 24-h endpoint absent,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,MISSING / NOT REPORTED,,,,,0,0,,,,
Zhang 2014,ZHANG14_TEAS_vs_SHAM_RR,Preoperative TEAS,Sham/no current,Recovery,Recovery-room stay,Recovery-room discharge,Mean/SD,33,32,33,32,35.6,12.9,,,,,48.3,16.3,,,,,minutes,0.01,Yes,No,MD,-12.699999999999996,No,No,Eligible for recovery-time analysis,No,Abstract incorrectly states 72 randomized; detailed flowchart/tables show 65 randomized and analyzed,Primary outcome / recovery-room stay,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhang 2014,ZHANG14_TEAS_vs_SHAM_REMI,Preoperative TEAS,Sham/no current,Intraoperative opioid,Remifentanil consumption rate,Intraoperative,Mean/SD,33,32,33,32,0.06,0.02,,,,,0.09,0.03,,,,,µg/kg/min,0.01,Yes,No,MD,-0.03,No,No,Eligible for intraoperative opioid-sparing analysis only,No,"Weight/time-normalized consumption, not absolute remifentanil dose",Table 2 / intraoperative remifentanil,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,SOURCE-VERIFIED,F-intra-003,F-intra,F_intraop_titrated_requirement,MATCHED,1,0,Some concerns,P3,,0.06±0.02 vs0.09±0.03 μg/kg/min; P=0.01
Zhang 2014,ZHANG14_TEAS_vs_SHAM_NAUSEA,Preoperative TEAS,Sham/no current,PONV,Postoperative nausea,Postoperative,Events/total,33,32,33,32,,,,,,7,,,,,,15,participants,0.03,Yes,No,RR,0.45252525252525255,No,No,Eligible for dichotomous nausea analysis,No,No exact narrower time window reported in the extraction,Table 3 / postoperative side effects,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhang 2014,ZHANG14_TEAS_vs_SHAM_VOMIT,Preoperative TEAS,Sham/no current,PONV,Postoperative vomiting,Postoperative,Events/total,33,32,33,32,,,,,,4,,,,,,11,participants,0.03,Yes,No,RR,0.3526170798898072,No,No,Eligible for dichotomous vomiting analysis,No,No exact narrower time window reported in the extraction,Table 3 / postoperative side effects,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhang 2014,ZHANG14_TEAS_vs_SHAM_OPIOID24,Preoperative TEAS,Sham/no current,Opioid consumption,Exact cumulative postoperative opioid dose,0-24 h,Not reported,33,32,33,32,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h postoperative opioid meta-analysis,No,Study reports intraoperative remifentanil rate but no exact postoperative opioid-consumption total,Postoperative analgesic section,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,MISSING / NOT REPORTED,,,,,0,0,,,,
Yang 2024,YANG24_EA_vs_UC_MORPH24,Perioperative EA + usual care,Usual care,Opioid consumption,Morphine use via IV PCA,First 24 h / POD1,Mean/SD,90,90,90,90,43.7,4.7,,,,,44,4.9,,,,,mg morphine,0.733,Yes,No,MD,-0.29999999999999716,Yes,Yes,Primary continuous 24-h opioid outcome,No,All 180 randomized participants retained in ITT; open-label patients but objective PCA drug-use record,Table 3 / Morphine use on POD1,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Yang 2024,YANG24_EA_vs_UC_FLATUS,Perioperative EA + usual care,Usual care,GI recovery,Time to first flatus,Postoperative,Mean/SD,90,90,90,90,15.4,3.2,,,,,17,3.7,,,,,hours,0.004,Yes,No,MD,-1.5999999999999996,No,No,Eligible for GI-recovery meta-analysis,No,Open-label participants; outcome assessor blinded,Table 2 / primary first-flatus outcome,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED,E-003,E,E_time_to_first_flatus,MATCHED,1,0,High,P2,,15.4±3.2 vs 17.0±3.7 h
Yang 2024,YANG24_EA_vs_UC_DEFEC,Perioperative EA + usual care,Usual care,GI recovery,Time to first defecation,Postoperative,Mean/SD,90,90,90,90,75.9,7.9,,,,,79.7,8.1,,,,,hours,0.002,Yes,No,MD,-3.799999999999997,No,No,Eligible for GI-recovery meta-analysis,No,Open-label participants; outcome assessor blinded,Table 2 / primary first-defecation outcome,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Yang 2024,YANG24_EA_vs_UC_VOMIT,Perioperative EA + usual care,Usual care,PONV,Postoperative vomiting,0-24 h,Events/total,90,90,90,90,,,,,,12,,,,,,25,participants,0.016,Yes,No,RR,0.48,No,No,Separate 0-24 h vomiting analysis; do not relabel as composite PONV,No,Vomiting 12/90 vs25/90 is the 0-24 h interval; prior v20 label 'within72 h' corrected in AF lock copy.,Secondary outcomes / PONV,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,SOURCE-VERIFIED / AF-CORRECTED,D-009,D,D_vomiting_0-24h,CORRECTED_V22,1,0,Some concerns,P2,,12/90 vs 25/90
Xiong 2021,XIONG21_TEAS_vs_CTRL_PONV48,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,PONV,Any PONV,Within 48 h,Events/total,31,31,31,31,,,,,,13,,,,,,24,participants,0.004,Yes,No,RR,0.5416666666666667,No,No,Eligible for dichotomous 48-h PONV analysis,No,Participant blinding intended but active postoperative tingling may have revealed allocation,Abstract / 48-h PONV result,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,SOURCE-VERIFIED,D-003,D,D_PONV_0-48h,MATCHED,1,0,High,,,13/31 vs 24/31
Xiong 2021,XIONG21_TEAS_vs_CTRL_CIPONV,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,PONV,Clinically important PONV,Within 48 h,Events/total,31,31,31,31,,,,,,5,,,,,,15,participants,0.007,Yes,No,RR,0.3333333333333333,No,No,Eligible for dichotomous clinically-important PONV analysis,No,Patient-reported symptom severity; sensory blinding may be imperfect,Abstract / clinically important PONV,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Xiong 2021,XIONG21_TEAS_vs_CTRL_RESCUEAE,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Rescue antiemetic,Any rescue antiemetic medication,Within 48 h,Events/total,31,31,31,31,,,,,,9,,,,,,18,participants,0.021,Percentages directly reported; counts exactly reconstructed from 29.0% and 58.1%,Yes,RR,0.5,No,No,Eligible for dichotomous rescue-antiemetic analysis,No,Counts reconstructed exactly from group denominator 31,Abstract / rescue antiemetic result,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,SOURCE-VERIFIED / COUNTS DERIVED,,,,,0,0,,,,
Xiong 2021,XIONG21_TEAS_vs_CTRL_POSTOPMME,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Opioid consumption,Postoperative opioid consumption,Postoperative window unclear,Mean/SD,31,31,31,31,0.6,0.2,,,,,0.6,0.1,,,,,mg morphine-equivalent/kg,0.908,Yes,Yes,MD,0,No,No,Not eligible for strict 0-24-h opioid meta-analysis until time window is clarified,No,Exact postoperative interval is not stated; route terminology in Results is internally inconsistent,Table 1 / postoperative opioid consumption,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,SOURCE-VERIFIED / WINDOW QC,,,,,0,0,,,,
Xiong 2021,XIONG21_TEAS_vs_CTRL_OPIOID24,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Opioid consumption,Exact cumulative postoperative opioid dose,0-24 h,Not reported,31,31,31,31,,,,,,,,,,,,,mg morphine-equivalent/kg,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis,No,Published opioid-equivalent result lacks a fixed time window,Exact 24-h endpoint absent,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,MISSING / WINDOW NOT REPORTED,,,,,0,0,,,,
Xing 2022,XING22_NTG_vs_NG_REMI,TEAS + active TAPB,Sham TEAS + active TAPB,Intraoperative opioid,Total remifentanil consumption,Intraoperative,Mean/SD,30,30,29,29,1182.61,253.61,,,,,1415.41,295.67,,,,,µg remifentanil,<0.05 pairwise,Yes,No,MD,-232.80000000000018,No,No,Eligible for incremental TEAS intraoperative opioid-sparing analysis,Yes,Direct TEAS contrast is NTG vs NG; do not attribute NTG-vs-G combined package entirely to TEAS,"Table 3, p10",https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,SOURCE-VERIFIED,F-intra-007,F-intra,F_intraop_titrated_requirement,MATCHED,1,0,Some concerns,P2,,1182.61±253.61 vs1415.41±295.67 μg; P<0.05
Xing 2022,XING22_NTG_vs_NG_FLATUS,TEAS + active TAPB,Sham TEAS + active TAPB,GI recovery,Time to first flatus,Postoperative,Mean/SD,30,30,29,29,32.57,6.94,,,,,36.83,6.19,,,,,hours,<0.05 pairwise,Yes,No,MD,-4.259999999999998,No,No,Eligible for GI-recovery analysis,Yes,Three-arm study; use NTG vs NG for incremental TEAS effect,Postoperative recovery results,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,SOURCE-VERIFIED,E-004,E,E_time_to_first_flatus,MATCHED,1,0,Some concerns,P2,,32.57±6.94 vs 36.83±6.19 h
Xing 2022,XING22_NTG_vs_NG_PONV,TEAS + active TAPB,Sham TEAS + active TAPB,PONV,PONV incidence,Postoperative,Events/total,30,30,29,29,,,,,,5,,,,,,11,participants,<0.05 pairwise,Percentages reported; counts exactly reconstructed from 17.24% and 37.93%,Yes,RR,0.4545454545454546,No,No,Eligible for dichotomous PONV analysis,Yes,Counts reconstructed from n=29 analyzed per arm,Postoperative complications,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,SOURCE-VERIFIED / COUNTS DERIVED,D-004,D,D_PONV_0-48h,MATCHED,1,0,High,P2,,5/29 vs 11/29
Xing 2022,XING22_NTG_vs_NG_RESTVAS24,TEAS + active TAPB,Sham TEAS + active TAPB,Pain,Rest pain VAS,24 h,Mean/SD,30,30,29,29,1.18,0.42,,,,,1.4,0.52,,,,,VAS 0-10,NS for NTG vs NG at 24 h,Yes,No,MD,-0.21999999999999997,No,No,Eligible for 24-h pain analysis,Yes,"At 24 h both TAPB groups improved versus G, but incremental NTG-vs-NG difference was not reported significant",24-h pain result,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,SOURCE-VERIFIED,C-001,C,C_rest_pain_~24h,MATCHED,1,0,High,P2,,1.18±0.42 vs 1.40±0.52
Xing 2022,XING22_NTG_vs_NG_PRESS,TEAS + active TAPB,Sham TEAS + active TAPB,Opioid demand,PCIA pump press count,48-h / 2-day PCIA period,Mean/SD,30,30,29,29,6.55,3.19,,,,,9.97,3.8,,,,,presses,<0.05 pairwise,Yes,No,MD,-3.420000000000001,No,No,"Eligible only as PCA-demand outcome, not exact opioid consumption",Yes,Press attempts may not equal successful delivered boluses; do not multiply by 1 µg,Table 3 / PCIA press count,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,,,,,0,0,,,,
Xing 2022,XING22_NTG_vs_NG_OPIOID24,TEAS + active TAPB,Sham TEAS + active TAPB,Opioid consumption,Exact cumulative postoperative sufentanil delivered,0-24 h,Not reported,30,30,29,29,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without author data,Yes,PCIA wording is internally contradictory and only press counts are reported,Exact 24-h endpoint absent,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Xie 2014,XIE14_EAS_vs_SHAM_TOTALSUF,Active EAS PC4/PC6,Sham needling PC4/PC6,Opioid consumption,Total postoperative/perioperative sufentanil,Through postoperative 48 h; published total may include 30-min pre-end-of-surgery sufentanil exposure,Mean/SD,20,20,20,20,115,6,,,,,133.5,7,,,,,µg sufentanil,<0.05,Yes,No,MD,-18.5,No,No,Target A broader/sensitivity 48-h cumulative opioid only; exclude strict postoperative-only primary,Yes,Sufentanil began 30 min before surgery ended; continuous infusion reported inconsistently as 2.25 vs 2.5 µg/h.,Table 2 / total sufentanil,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,SOURCE-VERIFIED / AF-CORRECTED / WINDOW-QC,A-004,A,A_0-48h_cumulative_opioid,CORRECTED_V22,0,1,Some concerns,P1,,115.0±6.0 vs 133.5±7.0 μg (EAS vs sham)
Xie 2014,XIE14_EAS_vs_CONTROL_TOTALSUF,Active EAS PC4/PC6,General-anesthesia control,Opioid consumption,Total postoperative/perioperative sufentanil,Through postoperative 48 h; published total may include 30-min pre-end-of-surgery sufentanil exposure,Mean/SD,20,20,20,20,115,6,,,,,134.3,5.9,,,,,µg sufentanil,<0.05,Yes,No,MD,-19.30000000000001,No,No,Target A broader/sensitivity 48-h cumulative opioid only; exclude strict postoperative-only primary,Yes,Sufentanil began 30 min before surgery ended; continuous infusion reported inconsistently as 2.25 vs 2.5 µg/h.,Table 2 / total sufentanil,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,SOURCE-VERIFIED / AF-CORRECTED / WINDOW-QC,A-004,A,A_0-48h_cumulative_opioid,CORRECTED_V22,0,1,Some concerns,P1,,115.0±6.0 vs 133.5±7.0 μg (EAS vs sham)
Xie 2014,XIE14_EAS_vs_SHAM_PCADEMAND,Active EAS PC4/PC6,Sham needling PC4/PC6,Opioid demand,Patient-controlled analgesia demand count,Study PCA period,Mean/SD,20,20,20,20,16,3,,,,,43,3,,,,,demands,<0.05,Yes,No,MD,-27,No,No,Eligible as analgesic-demand outcome only,Yes,Demand count should not be converted into delivered sufentanil without confirmation,Table 2 / patient demand,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,,,,,0,0,,,,
Xie 2014,XIE14_EAS_vs_SHAM_OPIOID24,Active EAS PC4/PC6,Sham needling PC4/PC6,Opioid consumption,Exact cumulative postoperative sufentanil,0-24 h,Not reported,20,20,20,20,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for strict continuous 24-h opioid meta-analysis,Yes,Directly reported total cannot be assigned to a fixed 24-h window,Exact 24-h endpoint absent,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,MISSING / TIME WINDOW UNRESOLVED,,,,,0,0,,,,
Wu 2022,WU22_PTEAS_vs_CTRL_PAINPOD1,Perioperative pTEAS,No-current control,Pain,VAS pain intensity,POD1,Mean/SD,45,45,44,40,1.77,0.91,,,,,2.25,0.71,,,,,VAS 0-10,0.009,Yes,No,MD,-0.48,No,No,Eligible for POD1 pain analysis,No,Asymmetric post-randomization exclusions: 1/45 pTEAS vs 5/45 control; participant sensory blinding not convincing,Table 3 / POD1 pain,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
Wu 2022,WU22_PTEAS_vs_CTRL_REMI,Perioperative pTEAS,No-current control,Intraoperative opioid,Cumulative remifentanil,Intraoperative,Mean/SD,45,45,44,40,1383,494,,,,,1637,630,,,,,µg remifentanil,0.042,Yes,No,MD,-254,No,No,Eligible for intraoperative opioid-sparing analysis,No,Complete-case analysis with asymmetric attrition,Table 2 / cumulative remifentanil,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,SOURCE-VERIFIED,F-intra-006,F-intra,F_intraop_titrated_requirement,MATCHED,0,1,Some concerns,,,1383±494 vs1637±630 μg; P=0.042
Wu 2022,WU22_PTEAS_vs_CTRL_REMIINDEX,Perioperative pTEAS,No-current control,Intraoperative opioid,Remifentanil dose index,Intraoperative,Mean/SD,45,45,44,40,0.084,0.018,,,,,0.114,0.09,,,,,µg/min/kg,0.045,Yes,No,MD,-0.03,No,No,Eligible for intraoperative dose-index analysis,No,Preserve source units as reported,Table 2 / remifentanil index,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Wu 2022,WU22_PTEAS_vs_CTRL_OPIOID24,Perioperative pTEAS,No-current control,Opioid consumption,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,45,45,44,40,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h postoperative opioid meta-analysis,No,"Standard end-of-surgery tramadol/fentanyl are reported, but no randomized group-specific 0-24-h opioid total is provided",Postoperative analgesia section,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,MISSING / NOT REPORTED,,,,,0,0,,,,
Wu 2025,WU25_TEAS_vs_SHAM_VAS24,PACU TEAS,Sham/no current,Pain,VAS pain intensity,24 h,Mean/SD,50,50,50,50,1.7,0.9,,,,,4,1.4,,,,,VAS 0-10,<0.001,Yes,No,MD,-2.3,No,No,Eligible for 24-h pain meta-analysis,No,"Three patients could not be contacted at 24 h, yet all 100 were included in ITT; imputation/handling method is not explained",Table 2 / primary 24-h VAS,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,SOURCE-VERIFIED / MISSING-DATA METHOD QC,,,,,0,0,,,,
Wu 2025,WU25_TEAS_vs_SHAM_MODPAIN12,PACU TEAS,Sham/no current,Pain,Moderate-to-severe pain (VAS >4),Within 12 h,Events/total,50,50,50,50,,,,,,6,,,,,,37,participants,<0.001,Yes,No,RR,0.16216216216216217,No,No,Eligible for dichotomous early postoperative pain analysis,No,Very large subjective effect; interpret with incomplete sensory blinding,Moderate-to-severe pain outcome,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Wu 2025,WU25_TEAS_vs_SHAM_INTRAOPSUF,PACU TEAS,Sham/no current,Intraoperative opioid,Sufentanil consumption,Intraoperative,Mean/SD,50,50,50,50,24.2,9.5,,,,,24.3,10.9,,,,,µg sufentanil,0.953,Yes,No,MD,-0.10000000000000142,No,No,Eligible for intraoperative opioid analysis,No,No intraoperative opioid-sparing effect,Table 1 / sufentanil,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,SOURCE-VERIFIED,F-exposure-007,F-exposure,F_intraop_fixed_or_unclear_exposure,MATCHED,0,0,Some concerns,,EXCLUDE treatment effect,Table 1 only
Wu 2025,WU25_TEAS_vs_SHAM_INTRAOPREMI,PACU TEAS,Sham/no current,Intraoperative opioid,Remifentanil consumption,Intraoperative,Mean/SD,50,50,50,50,489.4,226,,,,,533.8,263.6,,,,,µg remifentanil,0.368,Yes,No,MD,-44.39999999999998,No,No,Eligible for intraoperative opioid analysis,No,No significant intraoperative opioid-sparing effect,Table 1 / remifentanil,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,SOURCE-VERIFIED,F-exposure-007,F-exposure,F_intraop_fixed_or_unclear_exposure,MATCHED,0,0,Some concerns,,EXCLUDE treatment effect,Table 1 only
Wu 2025,WU25_TEAS_vs_SHAM_OPIOID24,PACU TEAS,Sham/no current,Opioid consumption,Exact postoperative opioid/MME consumption,0-24 h,Not calculable,50,50,50,50,,,,,,,,,,,,,MME,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis,No,Oxycodone/acetaminophen rescue strength is not reported; rescue regimen is mixed opioid/non-opioid,Postoperative rescue-analgesia section,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk,MISSING / MME NOT CALCULABLE,,,,,0,0,,,,
Wang 2023,WANG23_TEAS_vs_SHAM_SLEEPD1,Nighttime TEAS,Sham/no current,Sleep quality,PSQI and AIS postoperative sleep quality,POD1,Graph-only continuous data,43,45,40,43,,,,,,,,,,,,,PSQI/AIS points,<0.05 between groups,No,No,,,No,No,Not ready for continuous meta-analysis without formal graph digitization or author data,No,Exact POD1 means/SDs are figure-only; do not use fabricated exact AIS/PSQI values,"Figure 3, p8",https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk,FIGURE ONLY / DIGITIZATION NEEDED,,,,,0,0,,,,
