"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"39","460","Effect of Transcutaneous Electrical Acupoint Stimulation on One-Lung Ventilation-Induced Lung Injury in Patients Undergoing Esophageal Cancer Operation.","Zhao","2020","English","yes","Yes","INCLUDE_CLEAR","Randomized sham-controlled esophageal cancer surgery trial with one-lung ventilation; TEAS at BL13, LI4, and ST36 was delivered for 30 minutes before anaesthesia induction, and postoperative pulmonary complications, drainage duration, and length of stay were reported.","Clear preoperative TEAS-versus-sham randomized major surgery trial with eligible outcomes.","high","primary_results","yes","yes","yes","TEAS at BL13, LI4, and ST36","Sham electrodes without current","yes","not_applicable","yes","yes","Thirty minutes before anaesthesia induction.","yes","no","no","no","yes","2026-07-26T10:49:13.643Z","none","DOI 10.1155/2020/9018701; Ref ID 32595749. One-lung ventilation establishes general anaesthesia."
"40","461","A Malaysian retrospective study of acupuncture-assisted anesthesia in breast lump excision.","Ang","2020","English","yes","No","EXCLUDE_NON_RANDOMIZED","The title and methods explicitly identify a retrospective medical-record review of 17 breast lump excisions.","Retrospective uncontrolled case series, not an RCT.","high","case_series","yes","no","no","Needle electrical acupuncture-assisted anaesthesia","none","not_applicable","not_applicable","not_applicable","yes","During breast lump excision.","yes","no","no","no","yes","2026-07-26T10:49:25.583Z","none","DOI 10.1177/0964528420920307; Ref ID 32539426. Procedure used local anaesthetic rather than general anaesthesia."
"41","462","Histopathological evaluation of the role of negative electrical charge on renal ischemia/reperfusion injuries on brain and heart tissues in rat.","Dehyadegari","2020","English","yes","No","EXCLUDE_ANIMAL","The experiment randomized 24 Sprague Dawley rats and assessed heart and brain histopathology after renal ischemia/reperfusion.","Animal electroacupuncture experiment in rats.","high","animal_study","yes","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T10:49:41.859Z","none","DOI 10.30466/vrf.2018.86965.2126; Ref ID 32537102."
"42","464","Effect of Electroacupuncture on Postoperative Gastrointestinal Recovery in Patients Undergoing Thoracoscopic Surgery: A Feasibility Study.","Yang","2020","English","yes","Yes","INCLUDE_CLEAR","Randomized VATS segmentectomy/lobectomy feasibility trial compared EA plus usual care with usual care alone. EA at PC6, ST36, and ST37 was delivered 24 hours preoperatively and 4 and 24 hours postoperatively, with GI recovery, PONV, pain, and stay outcomes.","Clear perioperative needle-EA randomized surgical trial with separable usual-care comparison and eligible timing.","high","primary_results","yes","yes","yes","Needle EA at PC6, ST36, and ST37","Usual care alone","yes","not_applicable","yes","yes","24 hours before surgery and 4 and 24 hours after surgery.","yes","no","no","no","yes","2026-07-26T10:50:15.043Z","none","DOI 10.12659/MSM.920648; Ref ID 32445558. VATS lung resection makes general anaesthesia highly evident; paravertebral block appears common background care."
"43","465","[Effect of early electroacupuncture intervention on conscious state of patients after traumatic brain injury surgery].","Liu","2020","Chinese","yes","Maybe","UNCERTAIN_TIMING","Randomized TBI-surgery trial added daily EA at PC6 and GV26 to identical drug treatment, but describes intervention only as early postoperative treatment without stating elapsed time to the first session.","Potentially eligible postoperative EA RCT; first treatment within 24 hours requires full-text confirmation.","medium","primary_results","yes","yes","yes","Needle EA at PC6 and GV26 plus standard drugs","Identical awakening and neurotrophic drugs without EA","yes","not_applicable","yes","unclear","Described as early intervention once daily for 14 days; first session time not stated.","yes","no","yes","no","yes","2026-07-26T10:50:33.988Z","none","DOI 10.13703/j.0255-2930.20190506-0005; Ref ID 32394653. Traumatic brain injury surgery makes general anaesthesia highly evident."
"44","466","Opposing needling for analgesia and rehabilitation after unilateral total knee arthroplasty: a randomized, sham-controlled trial protocol.","Huang","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title and methods explicitly identify a randomized sham-controlled trial protocol; all interventions and outcomes are described in future tense without results.","Protocol-only publication without participant results.","high","protocol","no","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","yes","yes","2026-07-26T10:50:45.739Z","none","DOI 10.1186/s13063-020-04251-z; Ref ID 32381110; ChiCTR1800020297."
"45","467","Transcutaneous Electrical Acustimulation Improves Gastrointestinal Disturbances Induced by Transcatheter Arterial Chemoembolization in Patients With Liver Cancers.","Zhu","2020","English","yes","No","EXCLUDE_NON_SURGICAL","The randomized TEA trial involved transcatheter arterial chemoembolization for liver cancer, a percutaneous interventional procedure rather than operative surgery.","TACE is a non-operative percutaneous intervention outside the surgical population.","high","primary_results","yes","unclear","yes","Transcutaneous electrical acustimulation at ST36 and PC6","Sham stimulation at non-acupoints","yes","not_applicable","yes","yes","From procedure day 0 through day 2.","yes","no","no","no","yes","2026-07-26T10:51:06.809Z","none","DOI 10.1111/ner.13158; Ref ID 32378261."
"46","468","[Effect and safety of electroacupuncture analgesia at the latent stage of labor on the epidural analgesia].","Li","2020","Chinese","yes","No","EXCLUDE_NON_SURGICAL","Participants were primiparous women undergoing vaginal delivery with epidural analgesia, not operative surgery.","Labor and vaginal delivery are non-operative and used epidural rather than general anaesthesia.","high","primary_results","yes","no","yes","Electrical acupoint stimulation at LI4 and SP6","Sham stimulation or epidural block","yes","not_applicable","yes","yes","During latent labor.","yes","no","yes","no","yes","2026-07-26T10:51:29.242Z","none","DOI 10.13702/j.1000-0607.190448; Ref ID 32333540."
"47","469","[Effect of transcutaneous electrical acupoint stimulation on postoperative olfactory memory disorder and plasma melatonin in patients with general anesthesia of sevoflurane].","Huang","2020","Chinese","yes","Yes","INCLUDE_CLEAR","Randomized gynecological/urological operative study under sevoflurane general anaesthesia; TEAS at LI20 and GV29 began 10 minutes before induction and continued through surgery, with postoperative olfactory-memory recovery assessed.","Clear perioperative TEAS randomized trial under general anaesthesia with an eligible postoperative cognitive/sensory recovery outcome.","high","primary_results","yes","yes","yes","TEAS at LI20 and GV29","General anaesthesia without TEAS","yes","not_applicable","yes","yes","Ten minutes before anaesthesia induction until surgery end.","yes","no","yes","no","yes","2026-07-26T10:51:46.761Z","none","DOI 10.13703/j.0255-2930.20190326-k0010; Ref ID 32270634."
"48","470","[Effect of electroacupuncture on diaphragmatic function in patients with post-stroke tracheotomy].","Zhu","2020","Chinese","yes","No","EXCLUDE_NON_SURGICAL","Participants were post-stroke patients with tracheotomy tubes receiving four weeks of rehabilitation; no operative perioperative population was studied.","Non-operative post-stroke rehabilitation population.","high","primary_results","yes","not_applicable","yes","EA added to manual acupuncture and rehabilitation","Manual acupuncture and rehabilitation","yes","not_applicable","yes","not_applicable","Four-week rehabilitation course.","yes","yes","yes","no","yes","2026-07-26T10:51:59.911Z","none","DOI 10.13703/j.0255-2930.20190408-0005; Ref ID 32270633."
"49","472","Combined effect of laser acupuncture and electroacupuncture in knee osteoarthritis patients: A protocol for a randomized controlled trial.","Wu","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract identify a protocol and describe planned treatment and outcomes in future tense without results.","Protocol-only publication without participant results.","high","protocol","no","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T10:52:13.846Z","none","DOI 10.1097/MD.0000000000019541; Ref ID 32195960. Non-operative knee osteoarthritis and laser-acupuncture focus are also outside scope."
"50","473","Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial.","Huang","2019","English","yes","Yes","INCLUDE_CLEAR","Randomized laparoscopic colorectal-resection trial; both groups received the same ERAS anaesthesia management and PCIA, while TEAS at bilateral ST36 was delivered from 30 minutes before anaesthesia through surgery. Clinical pain and GI recovery outcomes were reported.","Clear perioperative TEAS randomized trial with identical ERAS background care and eligible clinical outcomes.","high","primary_results","yes","yes","yes","TEAS at bilateral ST36 plus identical ERAS care","Identical ERAS care without stimulation","yes","yes","yes","yes","From 30 minutes before anaesthesia until surgery end.","yes","no","no","no","yes","2026-07-26T10:52:33.104Z","none","Ref ID 32186016. Laparoscopic colorectal resection with remifentanil-based anaesthesia makes general anaesthesia highly evident."
"51","526","Electroacupuncture promotes peripheral nerve regeneration after facial nerve crush injury and upregulates the expression of glial cell-derived neurotrophic factor.","Fei","2019","English","yes","No","EXCLUDE_ANIMAL","The study randomized New Zealand rabbits with facial nerve crush injury and assessed nerve histology and gene/protein expression.","Animal electroacupuncture experiment in rabbits.","high","animal_study","yes","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T10:53:16.307Z","none","DOI 10.4103/1673-5374.247471; Ref ID 30632508."
"52","527","Effect of transcutaneous electrical acupoint stimulation on the EC50 of remifentanil suppressing responses to tracheal extubation in elderly patients.","Yin","2018","English","yes","Maybe","UNCERTAIN_TIMING","Randomized elderly spine-surgery trial with intubation/extubation compared TEAS with control and measured remifentanil dose requirements, but the abstract does not state the TEAS treatment timing or acupoints.","Potentially eligible perioperative TEAS RCT under general anaesthesia; stimulation timing and acupoint details require full-text verification.","medium","primary_results","yes","yes","yes","TEAS; acupoints not stated in abstract","Control without TEAS","yes","not_applicable","yes","unclear","Not reported in the abstract.","yes","no","no","no","yes","2026-07-26T10:53:39.943Z","none","DOI 10.1097/MD.0000000000013814; Ref ID 30593173. Tracheal extubation establishes general anaesthesia."
