"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"39","50","Effect of transcutaneous electrical acupoint stimulation on post-anesthetic shivering: a meta-analysis and trial sequential analysis.","Miao","2025","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The title and abstract explicitly describe a meta-analysis and trial sequential analysis of ten randomized trials, not an original participant-results report.","Meta-analysis, not a primary trial.","high","meta-analysis","no primary participant results","0","0","","not applicable","no; review of RCTs","TEAS evidence synthesis","varied","not applicable","not applicable","not applicable","pooled outcomes only","no","no","yes","2026-07-27T07:25:29.368Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"40","53","Integrative acupoint stimulation within enhanced recovery after endoscopic procedures: Harnessing the neuroimmune axis for enhanced gastrointestinal recovery.","Wang","2026","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The abstract explicitly states this article is a structured critical appraisal of another randomized trial and reports no independent participant results.","Commentary/critical appraisal without original participant results.","high","commentary and critical appraisal","no","0","0","","not applicable","no","discussion of combined acupoint application and TEAS","not applicable","not applicable","not applicable","not applicable","no original outcomes","no","no","yes","2026-07-27T07:25:32.784Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"41","55","Clinical Efficacy and Safety Assessment of Specific-Mode Electroacupuncture Stimulation Combined With Paclitaxel for Recurrent Malignant Gliomas: Study Protocol for a Single-Arm Trial.","Jia","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract identify an ongoing single-arm study protocol; enrollment and analyses are pending and no results are reported.","Single-arm protocol without participant results.","high","single-arm trial protocol","no","1","0","","no operative context","no; single arm","specific-mode electrical stimulation plus paclitaxel","none","no","no; combined therapy","not perioperative","planned only","no","no","yes","2026-07-27T07:26:05.552Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"42","56","Electroacupuncture improves psychosocial outcomes in rectal cancer patients with bowel dysfunction.","Wang","2026","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The abstract explicitly describes a retrospective controlled study of a four-week postoperative EA protocol for established low anterior resection syndrome.","Retrospective non-randomized treatment study.","high","retrospective controlled study","yes","5","0","","past surgery only; current treatment not perioperative","no","four-week needle electroacupuncture","standard postoperative care","appears balanced","yes","no evidence of initiation within 24 hours; established LARS","psychosocial and bowel outcomes","no","no","yes","2026-07-27T07:26:08.969Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"43","57","Transcutaneous Electrical Acupoint Stimulation vs Metoclopramide for Moderate to Severe Postoperative Nausea and Vomiting: A Randomized Clinical Trial.","Zheng","2026","English","yes","NO","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","Randomized trial compared active PC6 TEAS with intravenous metoclopramide after moderate-to-severe PONV developed. There was no sham, usual-care, no-treatment, or balanced-background comparison.","Only comparator is active medication.","high","journal article; primary participant-results report","yes","7","0","","yes; explicitly stated","yes","wearable TEAS at PC6","intravenous metoclopramide","no; double-dummy active comparator structure","TEAS effect contrasted only with active medication","likely within 24 hours but exact onset not stated","yes; PONV remission, relapse, recovery, adverse events","no","no","yes","2026-07-27T07:26:12.433Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"44","58","A systematic review and meta-analysis of acupuncture versus sham/placebo acupuncture for postoperative gastrointestinal dysfunction in cancer patients: Evidence from randomized controlled trials.","Zhu","2026","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The title and abstract explicitly describe a systematic review and meta-analysis of eleven randomized trials.","Systematic review and meta-analysis, not a primary trial.","high","systematic review and meta-analysis","no primary participant results","0","0","","not applicable","no; review of RCTs","mixed acupuncture evidence synthesis","varied","not applicable","not applicable","not applicable","pooled outcomes only","no","no","yes","2026-07-27T07:26:15.750Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"45","59","A study on the efficacy of acupuncture combined with erector spinae plane blockade in patients undergoing thoracoscopic lung lobectomy.","Huang","2026","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The study retrospectively identified patients and categorized them according to the analgesic strategy recorded in a clinical database; allocation was not randomized.","Retrospective non-randomized comparative study.","high","retrospective comparative study","yes","8","0","","highly evident from thoracoscopic lobectomy with intraoperative remifentanil","no","needle electroacupuncture plus ESPB","ESPB alone","yes; ESPB in both groups","yes","yes; intraoperative through surgery","yes; pain, nausea, opioids, hospital stay","no","no","yes","2026-07-27T07:26:16.363Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"46","62","Evidence-based acupuncture: Methodological insights and challenges in gastroenteroscopy recovery research.","Zhang","2026","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The abstract explicitly states that this is an editorial examining another randomized trial and broader evidence; it reports no independent participant results.","Editorial without original participant results.","high","editorial","no","0","0","","not applicable","no","commentary on combined MFI and TEAS","not applicable","not applicable","not applicable","not applicable","no original outcomes","no","no","yes","2026-07-27T07:26:47.265Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"47","64","Investigating the efficacy of electroacupuncture for postoperative ileus in patients with colorectal cancer: study protocol for a multicentre clinical trial with neuroimaging assessment.","Wang","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract identify a multicenter randomized study protocol; all interventions and analyses are planned and no participant results are reported.","Protocol without participant results.","high","trial protocol","no","7","0","","highly evident from elective laparoscopic colorectal surgery","planned randomized trial only","planned needle electroacupuncture","planned sham EA","planned balanced","planned separable comparison","uncertain; five sessions after surgery without exact first-hour timing","planned only","no","no","yes","2026-07-27T07:26:50.716Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"48","65","Efficacy of perioperative transcutaneous electrical acupoint stimulation on postoperative pain and recovery in patients undergoing pancreatectomy: a study protocol for a randomized controlled trial.","Wu","2025","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a randomized trial protocol and describe planned enrollment and outcomes without participant results.","Protocol without participant results.","high","trial protocol","no","8","0","","highly evident from pancreatectomy and anaesthesia induction","planned randomized trial only","planned TEAS at PC6, ST36, LI4, and SJ5","planned sham TEAS","planned balanced","planned separable comparison","planned 30 minutes before anaesthesia","planned only","no","no","yes","2026-07-27T07:26:51.306Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
